tokens,rewards
"3,3,0,6,1,4,8,1,9,1,4,7,0,0,9,0,9,9",0.0
"7,1,3,8,4,2,8,0,1,0,3,8,4,6,0,0,0,9,9,9",0.0
"3,3,6,0,6,8,0,6,4,1,9,0,0",0.0
"2,9,6,4,7,2,2,0,7,0,9,7,4,4,9,0,9",0.0
"5,2,9,4,1,9,3,8,2,9,3,0,9,7,7,0,0",0.0
"7,1,5,8,8,0,1,7,6,1,4,4,9,0,0,9,9",0.0
"6,1,9,2,8,0,1,2,2,8,2,9,0,9,9,0",0.0
"5,3,0,1,4,0,3,3,9,1,3,0,2,3,9,0,9,0,0,0",0.0
"7,6,4,0,2,8,2,0,9,4,9,3,0,0",0.0
"3,5,0,7,2,5,3,1,4,8,1,2,9,2,0,0,9,0,0,0,0",0.0
"7,4,6,1,8,3,9,8,3,8,2,0,8,1,0,9,9,9,0",0.0
"4,4,0,0,8,5,7,3,4,0,3,9,0,9",0.0
"5,8,8,8,1,7,0,8,4,0,9",0.0
"8,2,1,8,1,7,6,2,8,2,2,9,0,0,0,2,0,0,0,0",0.0
"6,8,3,7,3,7,2,0,9,9,9",0.5291588575274112
"7,7,2,9,5,7,2,2,2,7,3,4,0,4,9,0,9,9,0,0",0.0
"1,9,3,7,0,6,1,1,2,3,2,4,0,9,0,9,9,0,0",0.1712149888013908
"3,5,2,3,1,7,4,9,8,0,7,7,0,0,0,2,9,0",0.0
"3,2,4,3,6,0,4,1,0,4,8,8,4,0,0,0,0,0,9,9",0.0
"7,2,6,0,7,6,2,4,9,4,9,1,9,1,9,0,0",0.4207896846480555
"5,3,9,3,8,1,9,3,9,3,7,0,0,0",0.324006520960722
"1,8,0,1,5,1,2,2,9,0,2,0,1,0,9,0,0",0.0
"3,2,7,4,2,2,8,6,3,7,0,1,7,0,0,0,0,9,0,0",0.0
"6,1,1,8,8,1,9,0,4,8,0,0,9",0.0
"5,2,7,3,1,1,1,1,9,0,8,3,4,0,9,0,9,0,0,0",0.0
"6,7,2,2,9,4,8,3,9,1,1,0,8,0,0,9,9",0.0
"4,9,1,4,0,2,3,6,2,9,2,3,0,0,0,9,0,0",0.0
"5,8,8,8,4,3,0,2,8,3,9,2,0,0,9,9",0.0
"5,4,2,8,3,9,0,2,8,8,0,3,4,1,8,3,0,0,0,0,0,9",0.0
"2,5,0,3,6,4,9,7,3,2,7,1,9,8,0,9,0,0",0.0
"3,1,9,1,8,2,3,5,8,3,1,0,9,1,4,0,9,0,9,0,0,0",0.0
"4,2,3,0,1,0,2,9,6,1,3,3,8,3,1,9,0,9,9,0,0,0,0",0.0
"1,2,2,0,5,2,8,8,4,7,3,4,9,0,9,8,0,9,0,0",0.0
"5,4,1,9,0,1,4,0,4,9,0,4,8,2,3,0,9,0,0",0.0
"5,4,0,7,1,9,1,1,0,8,3,3,0,9,0,0",0.0
"3,0,8,5,1,0,8,8,1,7,0,8,2,9,0",0.0
"6,3,9,1,0,1,0,8,4,1,0,9,4,2,3,9,0,9,0",0.0
"8,6,2,9,7,4,7,1,7,1,8,2,9,7,0,9,9,0",0.0
"3,1,3,0,0,3,9,6,7,0,4,5,8,3,9,0,0",0.0
"5,8,1,0,7,7,2,2,9,2,9,2,8,0,0,9",0.0
"6,7,3,1,8,4,1,8,4,0,4,7,0,0,1,9,0,0,0,9",0.0
"5,3,2,2,3,9,4,3,9,0,0,9,2,9,0,0",0.0
"7,7,2,9,1,2,6,2,9,1,0,1,7,0,0,0,9",0.5425927393100027
"1,5,0,8,2,4,0,9,8,8,5,8,1,4,9,0,9",0.0
"5,3,9,1,9,7,0",0.5586549429034896
"4,0,6,7,7,7,2,9,0",0.0
"6,1,0,3,8,8,8,8,0,3,2,9,4,0,9,9",0.0
"4,0,2,9,8,3,5,2,8,2,4,2,0,2,9,0,9,0,9,0",0.0
"3,1,9,7,7,4,0,9,4,7,1,5,4,9,7,0,9,0",0.0
"8,4,2,0,1,9,2,8,5,4,4,0,0,9,2,0,0,9",0.0
"5,8,8,1,8,0,2,1,4,9,1,2,4,3,0,9,9,0,0,9,0",0.0
"4,1,5,7,1,2,9,4,8,3,0,2,3,1,9,4,9,0,9,0,0,0,0,0",0.0
"4,9,7,5,7,7,2,8,0,9",0.0
"3,5,7,2,2,0,2,1,3,0,3,8,1,0,0,9,9,0,9,0",0.0
"1,5,0,3,7,2,5,7,7,3,9,3,4,7,0,9,0,9,9",7.643056561292808e-16
"1,0,1,5,1,0,0,8,0",0.0
"5,7,1,7,4,3,0,0,8,0,9",0.0
"3,4,1,0,7,0,3,9,1,7,3,0,3,0,0,0,0",0.4489929183546983
"7,3,1,2,7,4,5,7,3,0,2,2,3,8,1,0,0,9,0,0,0,0,0,0",0.0
"4,9,4,6,1,7,4,3,9,0,0,1,0,9,9",0.0
"4,7,4,0,0,6,1,3,3,8,2,3,0,0,3,0,9,9,9,0",0.0
"1,2,1,9,6,4,3,0,8,4,4,3,2,3,8,0,9,9,9,0,0,0,0,0",0.0
"1,1,2,3,8,4,0,9,9,2,6,0,5,0,0,9",0.0
"3,3,3,0,3,4,8,0,0,5,2,9,0,1,2,0,9,0,0",0.0
"5,1,4,9,2,7,3,2,9,8,0,0,3,9,0,9",0.0
"6,4,9,7,2,1,2,0,9,4,8,0,9,3,0,0",0.0
"3,1,4,0,5,1,9,0,6,2,7,3,7,0,9,9,0",0.00032654787298236934
"2,1,9,6,1,0,0,7,3,0,2,9,8,6,0",0.07327600362125442
"1,9,4,5,0,5,8,2,2,4,4,9,7,7,0,9,0,0",0.0
"6,7,1,0,3,9,2,9,0",0.17738058907625462
"4,9,2,8,3,0,3,0,3,6,7,3,9,1,2,9,0,0,0,0",0.0
"2,2,5,0,9,8,3,4,8,8,3,5,1,8,0,9,0,0,9",0.0
"8,3,9,6,2,3,1,8,1,4,0,3,0,2,0,0,0,0,9,0",0.0
"7,4,4,5,3,1,8,4,7,4,9,7,0,0,1,9,0,9,0,0",0.0
"2,6,0,5,3,4,7,3,9,3,2,0,2,9,8,0,9,0,9",0.0
"6,2,0,8,1,3,3,2,7,7,7,0,7,0,0,9,9",0.004378318157210247
"2,4,0,6,7,1,9,2,2,0,9,9,8,2,0,6,0",0.0
"2,7,0,3,8,6,0,5,0",0.0
"1,8,0,1,2,9,6,0,1,1,7,6,0,9,9",0.0
"4,1,0,3,9,0,8,6,0",0.0
"6,1,0,1,0,4,8,3,9,4,9,0,4,9,0",0.0
"1,7,5,1,9,8,2,4,4,4,8,2,0,8,0,9,0,9,9,0",0.0
"4,5,0,3,0,6,1,3,9,4,0,2,7,7,0,9,9",0.0
"8,5,1,0,7,1,7,0,4,9,7,1,0,0",0.0
"1,3,6,2,9,1,3,9,0,9,5,3,0,0,6,1,9,2,0,0",0.5701042629117752
"3,6,0,2,4,2,9,7,7,7,6,0,9,9",0.06892189791830693
"6,2,9,8,3,1,3,4,0,8,3,3,4,0,9,9,0,0,9,0",0.0
"4,6,1,3,9,7,2,2,0,4,2,8,0,9,9,3,9,0,0,0",0.0
"8,2,9,1,6,3,1,1,2,4,8,1,9,0,4,0,9,9,0,0,0,0",0.0
"4,9,5,4,0,3,0,9",0.0
"8,8,6,1,9,8,2,9,0",0.0
"8,8,8,8,2,7,2,0,7,7,0,0",0.0
"4,3,4,8,3,5,3,9,7,3,9,4,9,7,0,0,9,0,0",0.0
"5,8,1,0,1,7,1,0,0,8,1,0,9",0.2031567949190061
"4,3,4,0,9,9,8,3,1,9,0,1,6,7,2,0,9,0",0.010726990114926246
"8,3,2,9,8,6,1,0,9,8,3,5,0,8,0",0.0
"6,1,8,2,0,8,1,8,8,0,0,0",0.0
"4,5,3,0,7,1,7,3,9,7,3,4,3,9,0,9,0,9,0",0.0
"8,3,7,2,3,0,9,9,9",0.738867569073279
"7,5,8,3,0,2,0,2,7,3,4,9,8,8,0,3,0,9,0",0.0
"1,8,0,7,5,2,3,9,3,0,0,0",0.0
"8,1,4,4,9,3,9,6,8,1,0,4,0,0,2,9,0,9",0.0
"2,1,2,0,0,0,4,9,7,6,4,4,9,4,9,0,9",0.0
"3,0,7,6,7,7,2,9,2,1,3,0,9,4,2,0,0,9,0",0.6570310558066984
"7,6,2,9,1,9,2,8,8,3,9,3,0,0,9",0.0
"3,1,1,6,0,1,9,3,1,5,1,2,2,1,7,0,9,0,0,0,9,0,0,0",0.379124828307942
"3,7,5,3,0,8,0,2,1,2,3,2,4,0,4,0,0,9,9,9,0,0",0.0
"8,4,0,8,3,3,1,5,4,1,0,1,2,2,0,8,0,0,0,0,9,0,0",0.0
"2,3,9,2,3,6,8,4,3,3,0,0,1,9,0,9,9,0,0",0.0
"5,3,3,2,3,9,0,1,4,1,0,4,9,2,0,0,9,0,0,9",0.0
"2,6,3,8,4,1,7,3,9,4,1,4,0,9,0,9,9,0,0,0",0.0
"1,1,9,7,4,6,0,8,4,5,0,4,9,0,9",0.0
"5,8,1,9,2,8,0,1,8,4,9,2,9,0,0",0.0
"8,8,3,3,0,7,5,8,3,3,0,9,9,1,0,0",0.0
"5,3,8,0,3,3,2,8,0,0,3,9,0,4,9,0",0.0
"2,5,3,9,2,0,9,1,7,7,7,0,8,0",0.0
"8,1,4,1,3,5,0,0,0,9,2,9,0",0.6766930009705233
"8,5,2,9,1,7,3,8,8,8,2,7,1,9,0,9,0,9",0.0
"2,3,9,1,3,3,9,5,7,4,4,4,0,2,0,1,9,0,9,0,0,0,0",0.0
"4,6,1,2,2,0,1,2,4,2,7,3,9,3,9,0,0,0,0,0,9,0,0",0.0
"7,5,4,2,9,0,0",0.0
"3,1,3,0,4,9,0,0,0",0.0
"6,4,4,8,0,4,1,7,4,8,3,9,4,8,0,0,9,9,0,0",0.0
"6,7,7,4,9,1,1,3,8,8,3,9,2,9,8,0,9,0,0",0.0
"4,9,4,2,0,5,2,9,8,3,0,4,9,7,0,9",0.0
"8,4,0,5,7,3,9,0",0.0
