tokens,rewards
"3,3,0,6,1,5,5,1,9,2,5,4,3,0,9,0,0,0,0",0.0
"7,1,2,9,4,2,9,0,0,0",0.6941912839367566
"3,3,6,1,6,8,0,6,6,1,9,1,0,5,0,7,0,9",0.0
"2,9,6,4,6,4,3,0,7,1,9,3,5,1,1,0,0,0,5,0,0,0",0.0
"5,2,9,5,2,8,3,6,2,9,3,0,5,4,6,0,0,0,0",0.0
"7,1,4,9,6,0,1,6,4,1,4,4,9,0,0,0,0,0",0.0
"6,1,9,3,8,0,2,3,3,7,3,9,0,8,2,0,0,0,0",0.6455516246890798
"5,4,0,2,5,0,4,3,9,2,4,0,2,4,9,0,0,0,0",0.0
"7,6,3,0,2,6,2,0,9,4,9,3,0,0",0.5748897499647287
"3,5,0,7,2,4,5,0,4,6,1,2,9,2,0,0,9,0,0",0.0
"7,4,5,1,6,3,9,6,3,6,2,0,6,1,0,9,0,0,0",0.655348627430257
"4,4,0,0,8,4,6,3,4,0,3,9,0,9,0",0.042054851900680375
"5,8,6,6,1,5,0,6,4,0,9",0.0
"8,2,1,6,1,5,5,1,6,2,2,9,0,0,0,1,0,0,0,0",0.5214106321661771
"6,8,3,5,3,5,2,0,9,9,5,1,2,2,1,0,0,0,0,0",0.0
"7,6,1,9,4,6,1,2,2,5,3,4,0,4,9,0,0,0,0,0,0",0.0
"1,9,3,7,0,6,1,2,2,3,3,5,0,9,0,0,0,0",0.0
"3,5,2,4,1,6,7,5,5,0,7,6,0,0,0,2,9,0",0.0
"3,2,4,3,6,0,4,1,0,4,8,6,3,0,0,0,0,0,9,9",0.5043306933409708
"7,1,5,0,5,4,1,4,9,4,9,1,4,1,5,0,0,0,0,0,0",0.0
"5,4,9,4,7,1,9,3,6,2,3,0,0,0,3,0,0,0",0.0
"1,8,0,1,5,1,3,3,9,0,3,0,1,1,9,0,0,0,0",0.0
"3,2,7,3,1,2,6,6,2,5,0,1,5,0,0,0,0,9,0,0",0.0
"6,1,1,8,5,1,9,0,5,5,0,0",0.0
"5,2,6,6,1,2,2,2,9,0,7,4,4,0,9,0,0,0,0",0.38675975206501473
"6,7,3,2,9,4,6,3,9,1,0,0,4,0,0,0",0.617532023332652
"4,9,1,4,0,2,3,6,3,9,3,3,0,0,0,3,0,0,0,0",0.6545797135271382
"5,8,6,6,4,3,0,2,6,3,9,2,0,0,9,5,0",0.0
"5,4,3,7,4,9,0,2,7,6,0,4,5,0,8,4,0,0,0",0.0
"2,5,0,3,6,6,7,5,3,2,5,1,9,6,0,9,0,0",0.0
"3,1,9,1,8,2,3,4,9,3,0,0,6,0,0,0,2,0,0",0.5043303444624319
"4,2,3,0,1,0,2,9,6,1,4,4,8,4,1,9,0,0,0,0,0,0,0",0.0
"1,2,2,0,5,2,7,6,4,5,3,4,9,0,9,0,0,0,0",0.0
"5,5,2,9,2,1,5,0,5,8,0,5,4,7,0,0",0.0
"5,5,1,7,0,8,1,1,0,6,3,3,0,9,0,0",0.0
"3,0,8,4,0,1,9,6,1,5,0,6,2,9,0",0.0
"6,3,9,1,0,2,0,7,5,0",0.0
"8,5,2,9,5,4,5,1,5,1,6,2,9,5,0,0,0,0",0.0
"3,1,3,0,0,3,9,6,7,0,4,5,8,4,9,0,0",0.0
"5,8,1,0,5,5,2,2,9,2,9,2,4,0,0,0,0",0.0
"6,7,3,1,6,4,1,6,4,0,4,5,0,0,1,9,0,0,0,9",0.0
"5,4,3,3,3,8,4,3,9,0,0,9,2,6,0,0,0,8,0",0.0
"7,6,1,9,1,2,5,1,9,1,0,0,3,0,0,0",0.0
"1,5,0,8,2,3,0,9,6,6,3,9,2,1,3,0,0,0,0",0.0
"5,4,9,1,9,7,1,3,0,2,4,5,5,4,0,0,0,0,0",0.0
"4,0,6,7,6,6,2,9,0",0.40171734718160085
"6,1,0,4,7,6,6,6,0,4,3,9,6,0,9",0.5150387843065592
"4,0,2,9,8,3,4,3,6,2,4,2,0,2,9,0,4,0,0,0,0,0,0",0.502295228342667
"3,1,9,7,6,2,0,9,4,6,1,3,5,5,7,0,3,0,0,0,0",0.0
"8,3,2,0,1,9,2,9,4,4,3,0,0,5,0,0,0",0.0
"5,8,6,1,6,0,2,1,4,9,1,2,4,3,0,9,0,0,0,0,0",0.0
"4,1,5,7,1,2,9,4,6,3,0,2,3,1,9,4,0,0,0,0,0,0,0,0",0.0
"4,9,7,4,5,5,1,6,0,9,1,1,0,2,0,0,0",0.5705823533509097
"3,5,5,3,3,0,3,2,4,0,4,7,2,0,0,9,9,0,0,0",0.0
"1,5,0,3,7,2,4,9,5,3,9,3,2,2,0,4,0,0,0,0,0,0",0.0
"1,0,1,5,1,0,0,8,0",0.0
"5,7,1,5,4,3,0,0,6,0,9",0.0
"3,4,1,0,7,0,3,9,1,7,3,0,2,0,0,0,0",0.501301652716211
"7,3,0,2,6,3,4,9,4,0,2,2,3,6,1,0,0,9,0,0,0,0",0.6023347229344685
"4,9,4,6,2,7,4,3,9,0,0,1,0,5,8,0,0",0.5732625412230329
"4,7,4,0,0,6,1,4,4,8,2,3,0,0,3,0,9,9,0,0",0.5134867250978447
"1,2,1,9,6,4,4,0,7,5,2,3,2,3,6,0,9,0,0,0,0,0,0",0.0
"1,1,2,3,8,3,0,9,9,2,5,0,4,0,0,2,0,0,0",0.0
"3,3,3,0,3,4,8,0,0,5,2,8,0,1,2,0,9,0,0,9",0.0
"5,1,5,7,2,5,3,2,9,6,0,0,3,9,0,1,0,0",0.0
"6,4,9,6,3,1,2,0,9,4,6,0,7,1,0,0,0",0.7211139555903214
"3,1,4,0,5,2,9,1,6,3,6,4,6,0,9,5,0,0,0,0",0.0
"2,1,9,6,1,0,0,7,2,0,1,9,6,4,0,0",0.3543704995043948
"1,9,4,5,0,5,8,2,2,4,4,9,5,5,0,0,0,0",0.0
"6,7,1,0,3,9,2,9,0",0.6460818419223179
"4,9,2,8,2,0,2,0,3,5,5,3,9,1,0,0,0,0",0.0
"2,2,5,0,9,8,2,3,6,6,2,4,2,6,0,9,0,0,0,0",0.0
"8,3,9,5,2,3,1,6,1,4,0,3,0,2,0,0,0,0,9,0",0.0
"7,3,3,4,4,1,6,4,5,4,9,5,0,0,1,9,0,0,0,0,0",0.0
"2,6,0,5,3,5,5,4,9,4,2,0,3,9,8,0,0,0",0.0
"6,2,0,8,1,3,3,2,5,5,5,0,5,0,0,9,9",0.0
"2,4,0,6,6,1,9,3,3,0,8,5,3,4,0,5,0,0,0,9",0.0
"2,7,0,3,8,5,0,5,0",0.0
"1,8,0,1,2,9,6,0,1,1,7,5,0,9,5,0",0.0
"4,1,0,3,9,0,8,5,0",0.0
"6,1,0,2,0,5,7,4,9,4,9,0",0.0
"1,7,4,1,9,6,2,4,4,4,6,2,0,6,0,9,0,0,0,0,0",0.49407150430251984
"4,5,0,3,0,6,1,3,9,6,0,3,6,8,0,9",0.0
"8,4,0,1,6,0,5,1,5,5,4,2,0,0,3,0,9,9",0.0
"1,3,6,3,9,2,4,8,0,9,4,4,0,0,1,3,0,4,0,0,0,0,0",0.4251736472056803
"3,6,0,2,4,2,9,7,6,6,4,0,9,8,5,0,0",0.0
"6,2,9,8,4,1,3,4,0,6,3,3,4,0,9,0,0,0,0,0",0.7065798069295977
"4,6,1,4,9,7,3,2,0,4,2,6,0,9,5,0,0,0,0",0.0
"8,2,9,1,5,3,1,1,2,4,6,1,9,0,0,0,0,0,0,0",0.5880087958652798
"4,9,5,5,1,3,0,9,0",0.0
"8,6,4,0,5,5,2,9,0",0.0
"8,6,6,6,1,6,1,0,6,6,0,0",0.0
"4,3,4,8,2,4,4,9,5,3,9,4,5,4,0,0,0,0,0,0,0,0",0.0
"5,7,1,0,1,5,1,0,0,6,1,0,9",0.0
"4,3,4,0,9,9,8,3,0,6,0",0.5616859367805991
"8,3,1,9,6,6,1,0,9,5,2,3,0,3,0,0,0",0.0
"6,1,8,2,0,6,1,6,6,0,0,0",0.0
"4,5,3,0,6,1,6,4,9,6,4,5,2,9,0,0,0,0",0.0
"8,3,6,1,2,0,9,9,6,0",0.5574585918691706
"7,5,5,3,0,2,0,2,5,3,4,9,6,6,0,3,0,9,0",0.0
"1,8,0,7,5,2,3,9,3,0,0,0",0.0
"8,1,3,3,9,2,9,4,6,1,0,3,0,0,0,0,0",0.5132654383095551
"2,1,2,0,0,0,4,9,7,6,4,4,9,4,6,0,4,1,0,0,0,0",0.0
"3,0,7,6,4,9,2,9,2,0,2,0,6,1,0,0",0.7242688116834604
"7,5,2,9,1,9,2,4,5,3,5,3,0,0,1,0,0,0,0",0.0
"3,1,1,6,0,1,9,3,1,5,2,3,3,1,6,0,9,0,0,0,0,0,0,0",0.0
"3,7,4,4,0,6,0,1,0,1,3,2,3,0,3,0,0,9,9,0,0",0.5093558321428286
"8,4,0,6,2,2,1,4,5,0,0,1,2,2,0,6,0,0,0,0,9",0.0
"2,3,9,2,3,6,8,4,3,3,0,0,1,9,0,0,0,0,0",0.8574681615602866
"5,3,4,3,4,9,1,1,5,1,0,5,7,2,0,0,9,0,0,0,0",0.0
"2,6,4,8,5,0,7,4,9,4,1,4,0,9,0,0,0",0.0
"1,1,9,7,4,5,0,9,5,4,0,3,7,0,5,0",0.0
"5,8,1,9,2,6,0,1,6,4,9,2,5,0,0,0",0.0
"8,6,2,2,0,5,4,9,4,3,0,9,5,0,0",0.0
"5,3,7,0,4,4,2,7,0,1,4,8,0,5,5,0,0,9,9",0.0
"2,5,4,9,3,0,9,1,5,8,6,0,6,0",0.0
"8,1,3,0,2,4,1,0,0,9,1,9,0,0",0.548279674219776
"8,4,1,9,0,4,5,3,9,6,2,4,2,5,0,6,0,0,0,0",0.0
"2,3,9,1,3,3,9,5,7,4,3,3,0,0,0,0,0,0,0",0.5043300192291921
"4,6,1,2,2,1,2,2,5,1,6,6,6,3,8,0,0,0,0,0,9,0,0,0,0",0.5036022743858439
"7,5,3,2,9,0,0",0.0
"3,1,3,0,4,9,0,0,0",0.7733310104003934
"6,6,6,6,1,5,1,7,5,4,5,5,4,6,0,0,9,9,0",0.0
"6,7,6,4,9,1,1,3,6,6,3,9,2,3,6,0,0,0,0,0,0",0.28362512418971936
"4,9,4,2,0,5,2,9,8,3,0,3,5,4,0,0,0,0",0.0
"8,3,0,4,9,4,9,0",0.548294520984049
"1,0,5,7,1,6,4,2,9,4,3,0,9,4,1,5,0,0,0,0,0",0.0
"2,2,3,3,5,1,1,9,6,0,0,0,9,7,5,0,0",0.0
"1,0,2,3,0,5,8,2,1,4,3,6,0,9,4,0,9,0,0,0",0.0
